job_id,company,role,source,fit_score,discipline_flag,status,date_found,apply_link
5263b86a6401,Vitru Educação,"Professor Regente - Design Gráfico, Digital e/ou Produto",weworkremotely,4,location unclear,found,2026-07-07,https://weworkremotely.com/remote-jobs/vitru-educacao-professor-regente-design-grafico-digital-e-ou-produto
fed334569afc,garden3d,Design Engineer Part-Time,weworkremotely,4,likely mismatch (UI/UX or software design); location unclear,found,2026-07-07,https://weworkremotely.com/remote-jobs/garden3d-design-engineer-part-time
9c56c3247d30,IAPWE,Freelance Writer,remotive,4,internship (out of scope — full-time only); location unclear,found,2026-07-07,https://remotive.com/remote-jobs/writing/freelance-writer-1185979
1f83bb1d2b12,Endureed by Global Innovation ,Sales Assistant ,remotive,4,not a physical-design role; remote — confirm India-eligible,found,2026-07-07,https://remotive.com/remote-jobs/sales/sales-assistant-2091038
496afc7efd8b,Quinncia Inc,Frontend Developer,remotive,4,likely mismatch (UI/UX or software design); remote — confirm India-eligible,found,2026-07-07,https://remotive.com/remote-jobs/software-development/frontend-developer-2090991
b37352b0bbd1,UP&RUN,Design Intern,manual,4,not a physical-design role,found,2026-07-07,https://www.youngdesignersindia.com/Jobs
6b42db2502f3,Faith Technologies,Sales Application Engineer-Switchboards,weworkremotely,3,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-07,https://weworkremotely.com/remote-jobs/faith-technologies-sales-application-engineer-switchboards
6de888a11d7a,Stone & Tile,Administrative Assistant,weworkremotely,3,not a physical-design role; remote — confirm India-eligible,found,2026-07-07,https://weworkremotely.com/remote-jobs/stone-tile-administrative-assistant
fd58e07aafbf,EverAI,Mid/Senior AI Cinematic Video Editor,remotive,3,stretch (senior/3+ yr); location unclear,found,2026-07-07,https://remotive.com/remote-jobs/artificial-intelligence/mid-senior-ai-cinematic-video-editor-2091035
21fa82058747,LawnStarter,Staff Product Engineer (São Paulo),remotive,3,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-07,https://remotive.com/remote-jobs/product/staff-product-engineer-sao-paulo-2091000
8142cc509ff8,EverAI,Mid/Senior AI Cinematic Video Editor,remotive,3,stretch (senior/3+ yr); location unclear,found,2026-07-07,https://remotive.com/remote-jobs/artificial-intelligence/mid-senior-ai-cinematic-video-editor-2090887
5dabc45b7767,A.Team,Senior Independent Software Developer,remotive,3,stretch (senior/3+ yr); location unclear,found,2026-07-07,https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265
